FullDateAlternateKey	Day	Month	MonthShort	MonthNo	Quarter	Year
20190101	Tuesday	January	Jan	1	1	2019
20190102	Wednesday	January	Jan	1	1	2019
20190103	Thursday	January	Jan	1	1	2019
20190104	Friday	January	Jan	1	1	2019
20190105	Saturday	January	Jan	1	1	2019
20190106	Sunday	January	Jan	1	1	2019
20190107	Monday	January	Jan	1	1	2019
20190108	Tuesday	January	Jan	1	1	2019
20190109	Wednesday	January	Jan	1	1	2019
20190110	Thursday	January	Jan	1	1	2019
20190111	Friday	January	Jan	1	1	2019
20190112	Saturday	January	Jan	1	1	2019
20190113	Sunday	January	Jan	1	1	2019
20190114	Monday	January	Jan	1	1	2019
20190115	Tuesday	January	Jan	1	1	2019
20190116	Wednesday	January	Jan	1	1	2019
20190117	Thursday	January	Jan	1	1	2019
20190118	Friday	January	Jan	1	1	2019
20190119	Saturday	January	Jan	1	1	2019
20190120	Sunday	January	Jan	1	1	2019
20190121	Monday	January	Jan	1	1	2019
20190122	Tuesday	January	Jan	1	1	2019
20190123	Wednesday	January	Jan	1	1	2019
20190124	Thursday	January	Jan	1	1	2019
20190125	Friday	January	Jan	1	1	2019
20190126	Saturday	January	Jan	1	1	2019
20190127	Sunday	January	Jan	1	1	2019
20190128	Monday	January	Jan	1	1	2019
20190129	Tuesday	January	Jan	1	1	2019
20190130	Wednesday	January	Jan	1	1	2019
20190131	Thursday	January	Jan	1	1	2019
20190201	Friday	February	Feb	2	1	2019
20190202	Saturday	February	Feb	2	1	2019
20190203	Sunday	February	Feb	2	1	2019
20190204	Monday	February	Feb	2	1	2019
20190205	Tuesday	February	Feb	2	1	2019
20190206	Wednesday	February	Feb	2	1	2019
20190207	Thursday	February	Feb	2	1	2019
20190208	Friday	February	Feb	2	1	2019
20190209	Saturday	February	Feb	2	1	2019
20190210	Sunday	February	Feb	2	1	2019
20190211	Monday	February	Feb	2	1	2019
20190212	Tuesday	February	Feb	2	1	2019
20190213	Wednesday	February	Feb	2	1	2019
20190214	Thursday	February	Feb	2	1	2019
20190215	Friday	February	Feb	2	1	2019
20190216	Saturday	February	Feb	2	1	2019
20190217	Sunday	February	Feb	2	1	2019
20190218	Monday	February	Feb	2	1	2019
20190219	Tuesday	February	Feb	2	1	2019
20190220	Wednesday	February	Feb	2	1	2019
20190221	Thursday	February	Feb	2	1	2019
20190222	Friday	February	Feb	2	1	2019
20190223	Saturday	February	Feb	2	1	2019
20190224	Sunday	February	Feb	2	1	2019
20190225	Monday	February	Feb	2	1	2019
20190226	Tuesday	February	Feb	2	1	2019
20190227	Wednesday	February	Feb	2	1	2019
20190228	Thursday	February	Feb	2	1	2019
20190301	Friday	March	Mar	3	1	2019
20190302	Saturday	March	Mar	3	1	2019
20190303	Sunday	March	Mar	3	1	2019
20190304	Monday	March	Mar	3	1	2019
20190305	Tuesday	March	Mar	3	1	2019
20190306	Wednesday	March	Mar	3	1	2019
20190307	Thursday	March	Mar	3	1	2019
20190308	Friday	March	Mar	3	1	2019
20190309	Saturday	March	Mar	3	1	2019
20190310	Sunday	March	Mar	3	1	2019
20190311	Monday	March	Mar	3	1	2019
20190312	Tuesday	March	Mar	3	1	2019
20190313	Wednesday	March	Mar	3	1	2019
20190314	Thursday	March	Mar	3	1	2019
20190315	Friday	March	Mar	3	1	2019
20190316	Saturday	March	Mar	3	1	2019
20190317	Sunday	March	Mar	3	1	2019
20190318	Monday	March	Mar	3	1	2019
20190319	Tuesday	March	Mar	3	1	2019
20190320	Wednesday	March	Mar	3	1	2019
20190321	Thursday	March	Mar	3	1	2019
20190322	Friday	March	Mar	3	1	2019
20190323	Saturday	March	Mar	3	1	2019
20190324	Sunday	March	Mar	3	1	2019
20190325	Monday	March	Mar	3	1	2019
20190326	Tuesday	March	Mar	3	1	2019
20190327	Wednesday	March	Mar	3	1	2019
20190328	Thursday	March	Mar	3	1	2019
20190329	Friday	March	Mar	3	1	2019
20190330	Saturday	March	Mar	3	1	2019
20190331	Sunday	March	Mar	3	1	2019
20190401	Monday	April	Apr	4	2	2019
20190402	Tuesday	April	Apr	4	2	2019
20190403	Wednesday	April	Apr	4	2	2019
20190404	Thursday	April	Apr	4	2	2019
20190405	Friday	April	Apr	4	2	2019
20190406	Saturday	April	Apr	4	2	2019
20190407	Sunday	April	Apr	4	2	2019
20190408	Monday	April	Apr	4	2	2019
20190409	Tuesday	April	Apr	4	2	2019
20190410	Wednesday	April	Apr	4	2	2019
20190411	Thursday	April	Apr	4	2	2019
20190412	Friday	April	Apr	4	2	2019
20190413	Saturday	April	Apr	4	2	2019
20190414	Sunday	April	Apr	4	2	2019
20190415	Monday	April	Apr	4	2	2019
20190416	Tuesday	April	Apr	4	2	2019
20190417	Wednesday	April	Apr	4	2	2019
20190418	Thursday	April	Apr	4	2	2019
20190419	Friday	April	Apr	4	2	2019
20190420	Saturday	April	Apr	4	2	2019
20190421	Sunday	April	Apr	4	2	2019
20190422	Monday	April	Apr	4	2	2019
20190423	Tuesday	April	Apr	4	2	2019
